,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
99,Briante Weber,2016,2018,G,6-2,165,"December 29, 1992",Virginia Commonwealth University
100,Jake Weber,1947,1947,C,6-6,225,"March 18, 1918",Purdue University
101,Elnardo Webster,1972,1972,F,6-5,190,"March 6, 1948",Saint Peter's College
102,Jeff Webster,1996,1996,F,6-8,232,"February 19, 1971",University of Oklahoma
103,Martell Webster,2006,2015,G-F,6-7,230,"December 4, 1986",
104,Marvin Webster,1976,1987,C,7-1,225,"April 13, 1952",Morgan State University
105,Scott Wedman,1975,1987,F-G,6-7,215,"July 29, 1952",University of Colorado
106,Sonny Weems,2009,2016,G-F,6-6,205,"July 8, 1986",University of Arkansas
107,Dick Wehr,1949,1949,F,6-4,180,"December 9, 1925",Rice University
108,Brant Weidner,1984,1984,F,6-9,230,"October 28, 1960",College of William & Mary
109,Bob Weiss,1966,1977,G,6-2,180,"May 7, 1942",Pennsylvania State University
110,Rick Weitzman,1968,1968,G,6-2,175,"April 30, 1946",Northeastern University
111,Bonzi Wells,1999,2008,G-F,6-5,210,"September 28, 1976",Ball State University
112,Bubba Wells,1998,1998,F,6-5,230,"July 26, 1974",Austin Peay State University
113,Owen Wells,1975,1975,F,6-7,200,"December 9, 1950",University of Detroit Mercy
114,Ralph Wells,1963,1963,G,6-1,180,"September 3, 1940",Northwestern University
115,Chris Welp,1988,1990,C,7-0,245,"January 2, 1964",University of Washington
116,Jiri Welsch,2003,2006,G,6-7,208,"January 27, 1980",
117,Thomas Welsh,2019,2019,C,7-0,255,"February 3, 1996","University of California, Los Angeles"
118,Bill Wennington,1986,2000,C,7-0,245,"April 26, 1963",St. John's University
119,Matt Wenstrom,1994,1994,C,7-1,250,"November 4, 1970",University of North Carolina
120,Robert Werdann,1993,1997,C,6-11,250,"September 12, 1970",St. John's University
121,Ray Wertis,1947,1948,G,5-11,,"January 1, 1922",St. John's University
122,David Wesley,1994,2007,G,6-0,190,"November 14, 1970",Baylor University
123,Walt Wesley,1967,1976,C,6-11,220,"January 25, 1945",University of Kansas
124,David West,2004,2018,F-C,6-9,250,"August 29, 1980",Xavier University
125,Delonte West,2005,2012,G,6-4,180,"July 26, 1983",Saint Joseph's University
126,Doug West,1990,2001,G-F,6-6,200,"May 27, 1967",Villanova University
127,Jerry West*,1961,1974,G,6-2,175,"May 28, 1938",West Virginia University
128,Mario West,2008,2011,G,6-5,210,"June 19, 1984",Georgia Institute of Technology
129,Mark West,1984,2000,C-F,6-10,230,"November 5, 1960",Old Dominion University
130,Roland West,1968,1968,G,6-4,178,"June 6, 1944",University of Cincinnati
131,Dexter Westbrook,1968,1968,F,6-8,190,,Providence College
132,Russell Westbrook,2009,2019,G,6-3,200,"November 12, 1988","University of California, Los Angeles"
133,Paul Westphal*,1973,1984,G,6-4,195,"November 30, 1950",University of Southern California
134,John Wetzel,1968,1976,G-F,6-5,190,"October 22, 1944",Virginia Polytechnic Institute and State University
135,Robert Whaley,2006,2006,C,6-10,260,"April 16, 1982","Barton County Community College, University of Cincinnati, Walsh University"
136,Ennis Whatley,1984,1997,G,6-3,177,"August 11, 1962",University of Alabama
137,DeJuan Wheat,1998,1999,G,6-0,165,"October 14, 1973",University of Louisville
138,Clinton Wheeler,1988,1989,G,6-1,185,"October 27, 1959",William Paterson University
139,Tyson Wheeler,1999,1999,G,5-10,165,"October 8, 1975",University of Rhode Island
140,Skippy Whitaker,1955,1955,G,6-1,180,"August 29, 1930",University of Kentucky
141,Andrew White,2018,2018,G,6-7,210,"June 16, 1993","University of Nebraska, Syracuse University"
142,D.J. White,2009,2014,F,6-9,251,"August 31, 1986",Indiana University
143,Derrick White,2018,2019,G,6-4,190,"July 2, 1994",University of Colorado
144,Eric White,1988,1989,F,6-8,200,"December 30, 1965",Pepperdine University
145,Herb White,1971,1971,G,6-2,195,"June 15, 1948",University of Georgia
146,Hubie White,1963,1971,G-F,6-4,205,"January 26, 1940",Villanova University
147,Jahidi White,1999,2005,F-C,6-9,290,"February 19, 1976",Georgetown University
148,James White,2007,2013,G-F,6-7,200,"October 21, 1982","University of Florida, University of Cincinnati"
149,Jo Jo White*,1970,1981,G,6-3,190,"November 16, 1946",University of Kansas
150,Okaro White,2017,2019,F,6-8,205,"August 13, 1992",Florida State University
151,Randy White,1990,1994,F,6-8,240,"November 4, 1967",Louisiana Tech University
152,Rodney White,2002,2005,F,6-9,238,"June 28, 1980",University of North Carolina at Charlotte
153,Rory White,1983,1987,F,6-8,210,"August 16, 1959",University of South Alabama
154,Royce White,2014,2014,F,6-8,270,"April 10, 1991",Iowa State University
155,Rudy White,1976,1981,G,6-2,195,"June 23, 1953",Arizona State University
156,Tony White,1988,1988,G,6-2,170,"February 15, 1965",University of Tennessee
157,Willie White,1985,1986,G,6-3,195,"August 20, 1962",University of Tennessee at Chattanooga
158,Isaiah Whitehead,2017,2018,G,6-4,213,"March 8, 1995",Seton Hall University
159,Jerome Whitehead,1979,1989,C-F,6-10,220,"September 30, 1956",Marquette University
160,Donald Whiteside,1997,1998,G,5-10,160,"April 25, 1969",Northern Illinois University
161,Hassan Whiteside,2011,2019,C,7-0,265,"June 13, 1989",Marshall University
162,Dwayne Whitfield,1996,1996,F,6-9,240,"August 21, 1972",Jackson State University
163,Chris Whitney,1994,2004,G,6-0,168,"October 5, 1971",Clemson University
164,Hank Whitney,1968,1970,F-C,6-7,230,"April 28, 1939",Iowa State University
165,Hawkeye Whitney,1981,1982,G-F,6-5,235,"June 22, 1957",North Carolina State University
166,Shayne Whittington,2015,2016,F-C,6-11,250,"March 27, 1991",Western Michigan University
167,Sidney Wicks,1972,1981,F-C,6-8,225,"September 19, 1949","University of California, Los Angeles"
168,Ron Widby,1968,1968,F,6-4,210,"March 9, 1945",University of Tennessee
169,Murray Wier,1950,1950,G,5-9,155,"December 12, 1926",University of Iowa
170,Bob Wiesenhahn,1962,1962,F,6-4,215,"December 22, 1938",University of Cincinnati
171,Andrew Wiggins,2015,2019,F-G,6-8,194,"February 23, 1995",University of Kansas
172,Mitchell Wiggins,1984,1992,G,6-4,185,"September 28, 1959","Clemson University, Florida State University"
173,Ken Wilburn,1968,1969,F,6-6,195,"June 8, 1944",Central State University
174,C.J. Wilcox,2015,2017,G,6-5,195,"December 30, 1990",University of Washington
175,Chris Wilcox,2003,2013,F,6-10,221,"September 3, 1982",University of Maryland
176,D.C. Wilcutt,1949,1950,G,6-2,165,"March 25, 1923",Saint Louis University
177,Gene Wiley,1963,1968,C,6-10,210,"November 12, 1937",Wichita State University
178,Jacob Wiley,2018,2018,F,6-7,215,"September 4, 1994",Eastern Washington University
179,Michael Wiley,1981,1982,F,6-9,200,"October 16, 1957","California State University, Long Beach"
180,Morlon Wiley,1989,1995,G,6-4,185,"September 24, 1966","California State University, Long Beach"
181,Win Wilfong,1958,1961,G-F,6-2,185,"March 18, 1933",University of Memphis
182,Lenny Wilkens*,1961,1975,G,6-1,180,"October 28, 1937",Providence College
183,Bob Wilkerson,1977,1983,G-F,6-6,195,"August 15, 1954",Indiana University
184,Jamaal Wilkes*,1975,1986,F-G,6-6,190,"May 2, 1953","University of California, Los Angeles"
185,James Wilkes,1981,1983,F,6-7,195,"April 1, 1958","University of California, Los Angeles"
186,Damien Wilkins,2005,2018,F-G,6-6,225,"January 11, 1980","North Carolina State University, University of Georgia"
187,Dominique Wilkins*,1983,1999,F-G,6-7,200,"January 12, 1960",University of Georgia
188,Eddie Lee Wilkins,1985,1993,F-C,6-10,220,"May 7, 1962",Gardner-Webb University
189,Gerald Wilkins,1986,1999,G-F,6-6,185,"September 11, 1963",University of Tennessee at Chattanooga
190,Jeff Wilkins,1981,1986,C-F,6-11,230,"March 9, 1955",Illinois State University
191,Dale Wilkinson,1985,1985,F,6-10,220,"March 18, 1960",Idaho State University
192,Mike Wilks,2003,2010,G,5-10,185,"May 7, 1979",Rice University
193,Aaron Williams,1994,2008,F-C,6-9,220,"October 2, 1971",Xavier University
194,Al Williams,1971,1971,F,6-6,200,"February 3, 1948",Drake University
195,Alan Williams,2016,2019,F-C,6-8,265,"January 28, 1993","University of California, Santa Barbara"
196,Alvin Williams,1998,2007,G,6-5,185,"August 6, 1974",Villanova University
197,Art Williams,1968,1975,G,6-1,180,"September 29, 1939","California State Polytechnic University, Pomona"
198,Bernie Williams,1970,1974,G,6-3,175,"December 30, 1945",La Salle University
199,Bob Williams,1956,1957,F,6-6,230,"May 12, 1931",Florida Agricultural and Mechanical University
200,Brandon Williams,1998,2003,G,6-6,215,"February 27, 1975",Davidson College
201,Buck Williams,1982,1998,F-C,6-8,215,"March 8, 1960",University of Maryland
202,C.J. Williams,2018,2019,G,6-5,226,"February 6, 1990",North Carolina State University
203,Charles Williams,1968,1973,G,6-0,165,"September 5, 1943",Seattle University
204,Chuck Williams,1971,1978,G,6-2,175,"June 6, 1946",University of Colorado
205,Chuckie Williams,1977,1977,G,6-3,180,"December 31, 1953",Kansas State University
206,Cliff Williams,1969,1969,G,6-3,180,"April 15, 1945",Bowling Green State University
207,Corey Williams,1993,1994,G,6-2,190,"April 24, 1970",Oklahoma State University
208,Deron Williams,2006,2017,G,6-3,200,"June 26, 1984",University of Illinois at Urbana-Champaign
209,Derrick Williams,2012,2018,F,6-8,240,"May 25, 1991",University of Arizona
210,Duck Williams,1980,1980,G,6-2,180,"August 2, 1956",University of Notre Dame
211,Earl Williams,1975,1979,C-F,6-7,230,"March 24, 1951",Winston-Salem State University
212,Elliot Williams,2012,2016,G,6-5,190,"June 20, 1989","Duke University, University of Memphis"
213,Eric Williams,1996,2007,F,6-8,220,"July 17, 1972",Providence College
214,Fly Williams,1975,1975,G-F,6-5,200,"February 18, 1953",Austin Peay State University
215,Frank Williams,2003,2005,G,6-3,212,"February 25, 1980",University of Illinois at Urbana-Champaign
216,Freeman Williams,1979,1986,G-F,6-4,190,"May 15, 1956",Portland State University
217,Gene Williams,1970,1970,F,6-7,235,"April 1, 1947",Kansas State University
218,Gus Williams,1976,1987,G,6-2,175,"October 10, 1953",University of Southern California
219,Guy Williams,1985,1986,F,6-9,200,"July 1, 1960","University of San Francisco, Washington State University"
220,Hank Williams,1975,1975,F,6-5,210,"April 28, 1952",Jacksonville University
221,Herb Williams,1982,1999,C-F,6-10,242,"February 16, 1958",Ohio State University
222,Hot Rod Williams,1987,1999,F-C,6-11,215,"August 9, 1962",Tulane University
223,Jason Williams,1999,2011,G,6-1,190,"November 18, 1975","Marshall University, University of Florida"
224,Jawad Williams,2009,2011,F,6-9,218,"February 19, 1983",University of North Carolina
225,Jay Williams,2003,2003,G,6-2,195,"September 10, 1981",Duke University
226,Jayson Williams,1991,1999,F-C,6-9,240,"February 22, 1968",St. John's University
227,Jerome Williams,1997,2005,F,6-9,206,"May 10, 1973",Georgetown University
228,John Williams,1987,1995,F-C,6-8,235,"October 26, 1966",Louisiana State University
229,Johnathan Williams,2019,2019,F,6-9,228,"May 22, 1995","University of Missouri, Gonzaga University"
230,Jordan Williams,2012,2012,F,6-10,260,"October 11, 1990",University of Maryland
231,Justin Williams,2007,2008,F,6-10,225,"May 12, 1984",University of Wyoming
232,Kenny Williams,1991,1994,F,6-9,205,"June 9, 1969",Barton County Community College
233,Kenrich Williams,2019,2019,G-F,6-7,210,"December 2, 1994",Texas Christian University
234,Kevin Williams,1984,1989,G,6-2,175,"September 11, 1961","Texas Christian University, St. John's University"
235,Lorenzo Williams,1993,2000,F-C,6-9,200,"July 15, 1969",Stetson University
236,Lou Williams,2006,2019,G,6-1,175,"October 27, 1986",
237,Marcus Williams,2007,2010,G,6-3,205,"December 3, 1985",University of Connecticut
238,Marcus Williams,2008,2009,F,6-7,205,"November 18, 1986",University of Arizona
239,Marvin Williams,2006,2019,F,6-9,237,"June 19, 1986",University of North Carolina
240,Matt Williams,2018,2018,G,6-5,210,"October 14, 1993",University of Central Florida
241,Micheal Williams,1989,1999,G,6-2,175,"July 23, 1966",Baylor University
242,Mike Williams,1990,1990,F,6-8,255,"August 14, 1963","University of Cincinnati, Bradley University"
243,Milt Williams,1971,1975,G,6-2,182,"November 22, 1945",Lincoln University of Missouri
244,Mo Williams,2004,2016,G,6-1,198,"December 19, 1982",University of Alabama
245,Monty Williams,1995,2003,F,6-8,225,"October 8, 1971",University of Notre Dame
246,Nate Williams,1972,1979,F-G,6-5,215,"May 2, 1950",Utah State University
247,Pete Williams,1986,1987,F,6-7,190,"March 10, 1965",University of Arizona
248,Ray Williams,1978,1987,G,6-3,188,"October 14, 1954",University of Minnesota
249,Reggie Williams,1988,1997,F-G,6-7,190,"March 5, 1964",Georgetown University
250,Reggie Williams,2010,2017,F,6-6,205,"September 14, 1986",Virginia Military Institute
251,Rickey Williams,1983,1983,G,6-1,175,"March 12, 1957","University of New Mexico, California State University, Long Beach"
252,Rob Williams,1983,1984,G,6-2,175,"May 5, 1961",University of Houston
253,Robert Williams,2019,2019,F,6-10,240,"October 17, 1997",Texas A&M University
254,Ron Williams,1969,1976,G,6-3,188,"September 24, 1944",West Virginia University
255,Sam Williams,1969,1970,G,6-3,180,"January 22, 1945",University of Iowa
256,Sam Williams,1982,1985,F,6-8,210,"March 7, 1959",Arizona State University
257,Scott Williams,1991,2005,F-C,6-10,230,"March 21, 1968",University of North Carolina
258,Sean Williams,2008,2012,C-F,6-10,235,"September 13, 1986",Boston College
259,Shammond Williams,1999,2007,G,6-1,201,"April 5, 1975",University of North Carolina
260,Shawne Williams,2007,2015,F,6-9,225,"February 16, 1986",University of Memphis
261,Shelden Williams,2007,2012,F,6-9,250,"October 21, 1983",Duke University
262,Sly Williams,1980,1986,F-G,6-7,210,"January 26, 1958",University of Rhode Island
263,Terrence Williams,2010,2013,F,6-6,220,"June 28, 1987",University of Louisville
264,Travis Williams,1998,1999,F,6-6,215,"May 27, 1969",South Carolina State University
265,Troy Williams,2017,2019,F,6-7,218,"December 30, 1994",Indiana University
266,Walt Williams,1993,2003,F-G,6-8,219,"April 16, 1970",University of Maryland
267,Ward Williams,1949,1949,F,6-4,195,"June 26, 1923",Indiana University
268,Willie Williams,1971,1971,F,6-7,200,"July 28, 1946",Florida State University
269,Corliss Williamson,1996,2007,F,6-7,245,"December 4, 1973",University of Arkansas
270,John Williamson,1974,1981,G,6-2,185,"November 10, 1951",New Mexico State University
271,Vann Williford,1971,1971,F,6-6,195,"January 26, 1948",North Carolina State University
272,Kevin Willis,1985,2007,F-C,7-0,220,"September 6, 1962",Michigan State University
273,Bill Willoughby,1976,1984,F-C,6-8,205,"May 20, 1957",
274,Dedric Willoughby,2000,2000,G-F,6-3,180,"May 27, 1974","University of New Orleans, Iowa State University"
275,Bob Wilson,1952,1952,G,6-4,185,"March 8, 1926",West Virginia State University
276,Bobby Wilson,1968,1968,F,6-8,215,,University of Kansas
277,Bobby Wilson,1975,1978,G,6-3,175,"January 15, 1951",Wichita State University
278,Bubba Wilson,1980,1980,G,6-3,175,"August 7, 1955",Western Carolina University
279,D.J. Wilson,2018,2019,F,6-10,231,"February 19, 1996",University of Michigan
280,George Wilson,1965,1971,C,6-8,225,"May 9, 1942",University of Cincinnati
281,Isaiah Wilson,1972,1973,G,6-2,175,"May 31, 1948",University of Baltimore
282,Jamil Wilson,2018,2018,F,6-7,230,"November 21, 1990","University of Oregon, Marquette University"
283,Jasper Wilson,1969,1970,F,6-6,200,"July 12, 1947",Southern University and A&M College
284,Jim Wilson,1971,1971,G,5-10,175,,Cheyney University of Pennsylvania
285,Michael Wilson,1984,1987,G,6-4,175,"September 15, 1959",Marquette University
286,Nikita Wilson,1988,1988,F,6-8,200,"February 25, 1964",Louisiana State University
287,Othell Wilson,1985,1987,G,6-0,190,"October 26, 1961",University of Virginia
288,Rick Wilson,1979,1980,G,6-5,200,"February 7, 1956",University of Louisville
289,Ricky Wilson,1988,1988,G,6-3,195,"July 16, 1964",George Mason University
290,Stephen Wilson,1971,1972,G,6-5,185,"October 16, 1948",Hanover College
291,Trevor Wilson,1991,1996,F,6-7,210,"March 16, 1968","University of California, Los Angeles"
292,Kyle Wiltjer,2017,2017,F,6-10,240,"October 20, 1992",Gonzaga University
293,Kennard Winchester,1991,1993,G-F,6-5,210,"September 3, 1966","James Madison University, Averett University"
294,Tony Windis,1960,1960,G,6-1,160,"January 27, 1933",University of Wyoming
295,John Windsor,1964,1964,F,6-8,215,"April 3, 1940",Stanford University
296,Lee Winfield,1970,1976,G,6-2,174,"February 4, 1947",University of North Texas
297,David Wingate,1987,2001,G-F,6-5,185,"December 15, 1963",Georgetown University
298,Dontonio Wingfield,1995,1998,F,6-8,256,"June 23, 1974",University of Cincinnati
299,Harthorne Wingo,1973,1976,F,6-6,210,"September 9, 1947",Friendship Junior College
300,Marv Winkler,1971,1972,G,6-1,164,"February 18, 1948",University of Louisiana at Lafayette
301,Justise Winslow,2016,2019,F,6-7,225,"March 26, 1996",Duke University
302,Rickie Winslow,1988,1988,F,6-8,225,"July 26, 1964",University of Houston
303,Trevor Winter,1999,1999,C,7-0,275,"January 7, 1974",University of Minnesota
304,Brian Winters,1975,1983,G-F,6-4,185,"March 1, 1952",University of South Carolina
305,Voise Winters,1986,1986,F,6-8,200,"October 12, 1962",Bradley University
306,Skip Wise,1976,1976,G,6-2,170,"July 25, 1955",Clemson University
307,Willie Wise,1970,1978,F,6-5,210,"March 3, 1947",Drake University
308,Jeff Withey,2014,2018,C,7-0,231,"March 7, 1990",University of Kansas
309,Luke Witte,1974,1976,C,7-0,235,"October 19, 1950",Ohio State University
310,Greg Wittman,1970,1971,F,6-8,210,"May 10, 1947",Western Carolina University
311,Randy Wittman,1984,1992,G-F,6-6,210,"October 28, 1959",Indiana University
312,Garry Witts,1982,1982,G-F,6-7,190,"July 3, 1959",College of the Holy Cross
313,Dave Wohl,1972,1978,G,6-2,185,"November 2, 1949",University of Pennsylvania
314,Joe Wolf,1988,1999,F-C,6-11,230,"December 17, 1964",University of North Carolina
315,Ruben Wolkowyski,2001,2003,F,6-10,270,"September 30, 1973",
316,Nate Wolters,2014,2018,G,6-4,190,"May 15, 1991",South Dakota State University
317,Al Wood,1982,1987,G-F,6-6,193,"June 2, 1958",University of North Carolina
318,Bob Wood,1950,1950,G,5-10,,"October 7, 1921",Northern Illinois University
319,Christian Wood,2016,2019,F,6-10,214,"September 27, 1995","University of Nevada, Las Vegas"
